FID,Nr ewid,Nazwa,Centrala,Stanowisko,Rodzaj,Województwo,Powiat,Gmina,Miejscowość,Adres,Kod pocztowy,Długość geo.,Szerokość geo.,x,y
407,1226001,JRG Siemianowice Śląskie,327668030,327668030 wew.: 100,JRG,ŚLĄSKIE,Siemianowice Śląskie,Siemianowice Śląskie,Siemianowice Śląskie,Pułaskiego 2,41-100,19.02405,50.3054083333,19.02405,50.3054083333
408,1012001,JRG Siemiatycze,477118351,477118351,JRG,PODLASKIE,siemiatycki,Siemiatycze (gmina miejska),Siemiatycze,11-go Listopada 31,17-300,22.8649972222,52.4250027778,22.8649972222,52.4250027778
409,516001,JRG Sieradz,438281060,438281080,JRG,ŁÓDZKIE,sieradzki,Sieradz (gmina miejska),Sieradz,"T. Grzesika, R. Piwnika 1",98-200,18.7063694444,51.5729611111,18.7063694444,51.5729611111
410,733001,JRG Sierpc, ,242752021,JRG,MAZOWIECKIE,sierpecki,Sierpc (gmina miejska),Sierpc,Przemysłowa 2,09-200,19.6717333333,52.8413027778,19.6717333333,52.8413027778
411,1311001,JRG Skarżysko Kamienna,478018524,412511757,JRG,ŚWIĘTOKRZYSKIE,skarżyski,Skarżysko-Kamienna,Skarżysko-Kamienna,1 Maja 101,26-110,20.8992194444,51.1186805556,20.8992194444,51.1186805556
412,602001,JRG Skawina,122763998,122763998,JRG,MAŁOPOLSKIE,krakowski,Skawina,Skawina,Piłsudskiego 79,32-050,19.7994111111,49.9683305556,19.7994111111,49.9683305556
413,517001,JRG Skierniewice,468333611,468333200,JRG,ŁÓDZKIE,Skierniewice,Skierniewice,Skierniewice,Aleja Macieja  Rataja 4,96-100,20.1589972222,51.955175,20.1589972222,51.955175
414,1207002,JRG Skoczów,478517160,478517191,JRG,ŚLĄSKIE,cieszyński,Skoczów,Skoczów,Cieszyńska 10,43-430,18.7866638889,49.8009111111,18.7866638889,49.8009111111
415,1615002,JRG Sławno, ,598103008,JRG,ZACHODNIOPOMORSKIE,sławieński,Sławno (gmina miejska),Sławno,Wojska Polskiego 19,76-100,16.6730472222,54.3651111111,16.6730472222,54.3651111111
416,406001,JRG Słubice,957507600,957507631,JRG,LUBUSKIE,słubicki,Słubice,Słubice,Konstytucji 3 Maja 79,69-100,14.5675,52.3544444444,14.5675,52.3544444444
417,1527001,JRG Słupca, ,477719110,JRG,WIELKOPOLSKIE,słupecki,Słupca (gmina miejska),Słupca,Ratajczaka 1,62-400,17.8748944444,52.2898583333,17.8748944444,52.2898583333
418,734001,JRG Sochaczew, ,468622517,JRG,MAZOWIECKIE,sochaczewski,Sochaczew (gmina miejska),Sochaczew,Stanisława Staszica  7,96-500,20.2387027778,52.2311111111,20.2387027778,52.2311111111
419,735001,JRG Sokołów Podlaski,257817009,257817009,JRG,MAZOWIECKIE,sokołowski,Sokołów Podlaski (gmina miejska),Sokołów Podlaski,Kolejowa 21,08-300,22.2296666667,52.4144166667,22.2296666667,52.4144166667
420,1013002,JRG Sokółka,857229900,857229900,JRG,PODLASKIE,sokólski,Sokółka,Sokółka,Plac Kościuszki 4,16-100,23.4969444444,53.4045555556,23.4969444444,53.4045555556
421,1013001,JRG Sokółka Posterunek Dąbrowa Bł., ,477118407,JRG,PODLASKIE,sokólski,Dąbrowa Białostocka,Dąbrowa Białostocka,1000 - lecia Państwa Polskiego 23,16-200,23.3539722222,53.6525,23.3539722222,53.6525
422,1116001,JRG Sopot,585558173 wew.: 173,585558170 wew.: 170,JRG,POMORSKIE,Sopot,Sopot,SOPOT,Armii Krajowej 105,81-824,18.5558333333,54.4433333333,18.5558333333,54.4433333333
423,1227001,JRG Sosnowiec Centrum,323631840,323631840,JRG,ŚLĄSKIE,Sosnowiec,Sosnowiec,Sosnowiec,Klimontowska 21,41-200,19.1529777778,50.2771777778,19.1529777778,50.2771777778
424,1227002,JRG Sosnowiec Porąbka,323630901,323630901,JRG,ŚLĄSKIE,Sosnowiec,Sosnowiec,Sosnowiec,Wiejska 160,41-219,19.2224388889,50.2925694444,19.2224388889,50.2925694444
425,205056,JRG SP PSP Bydgoszcz,523498400,523498455,JRG,KUJAWSKO-POMORSKIE,Bydgoszcz,Bydgoszcz,Bydgoszcz,Glinki 86,85-861,18.0332111111,53.1003194444,18.0332111111,53.1003194444
426,1312001,JRG Starachowice,412745389,412745389 wew.: 1299,JRG,ŚWIĘTOKRZYSKIE,starachowicki,Starachowice,Starachowice,Aleja Armii Krajowej 29,27-200,21.0739833333,51.0530138889,21.0739833333,51.0530138889
427,1616002,JRG Stargard,733775773,915788750,JRG,ZACHODNIOPOMORSKIE,stargardzki,Stargard (gmina miejska),Stargard,Księcia Bogusława IV nr 21,73-110,15.0378083333,53.3334583333,15.0378083333,53.3334583333
428,1117001,JRG Starogard Gdański,585623011,585601500,JRG,POMORSKIE,starogardzki,Starogard Gdański (gmina miejska),Starogard Gdański,Lubichowska 1,83-200,18.5276722222,53.9656277778,18.5276722222,53.9656277778
429,1313001,JRG Staszów,158642108,158642108,JRG,ŚWIĘTOKRZYSKIE,staszowski,Staszów,Staszów,Parkowa 4,28-200,21.1636111111,50.5622222222,21.1636111111,50.5622222222
430,523002,JRG Stryków,427145576, ,JRG,ŁÓDZKIE,zgierski,Stryków,Stryków,Targowa 19,95-010,19.6047222222,51.8975,19.6047222222,51.8975
431,407001,JRG Strzelce Krajeńskie,957639650,957639650,JRG,LUBUSKIE,strzelecko-drezdenecki,Strzelce Krajeńskie,Strzelce Krajeńskie,Wyzwolenia 7,66-500,15.5223666667,52.8809777778,15.5223666667,52.8809777778
432,812001,JRG Strzelce Opolskie, ,478616210,JRG,OPOLSKIE,strzelecki,Strzelce Opolskie,Strzelce Opolskie,Zakładowa 1,47-100,18.3112416667,50.5187666667,18.3112416667,50.5187666667
433,121001,JRG Strzelin,713921555,713921555,JRG,DOLNOŚLĄSKIE,strzeliński,Strzelin,Strzelin,Marii Konopnickiej 3,57-100,17.0796944444,50.7852222222,17.0796944444,50.7852222222
434,921001,JRG Strzyżów,172761001,172760088,JRG,PODKARPACKIE,strzyżowski,Strzyżów,Strzyżów,Sportowa 20,38-100,21.7736166667,49.8768277778,21.7736166667,49.8768277778
435,617001,JRG Sucha Beskidzka,478317500,478317513,JRG,MAŁOPOLSKIE,suski,Sucha Beskidzka,Sucha Beskidzka,Makowska 26,34-200,19.6190055556,49.7350555556,19.6190055556,49.7350555556
436,411001,JRG Sulechów,684544320, ,JRG,LUBUSKIE,zielonogórski,Sulechów,Sulechów,Licealna 10A,66-100,15.6297555556,52.0847861111,15.6297555556,52.0847861111
437,408001,JRG Sulęcin,957550050,957551436 wew.: 110,JRG,LUBUSKIE,sulęciński,Sulęcin,Sulęcin,E. Plater 8,69-200,15.11875,52.4413055556,15.11875,52.4413055556
438,118002,JRG Syców,627852500,627852500,JRG,DOLNOŚLĄSKIE,oleśnicki,Syców,Syców,Waryńskiego 2,56-500,17.7236111111,51.3091666667,17.7236111111,51.3091666667
439,1528001,JRG Szamotuły, , ,JRG,WIELKOPOLSKIE,szamotulski,Szamotuły,Szamotuły,Obornicka 10,64-500,16.5855555556,52.6138888889,16.5855555556,52.6138888889
440,324001,JRG Szczebrzeszyn,846807460,846821300,JRG,LUBELSKIE,zamojski,Szczebrzeszyn,Szczebrzeszyn,Partyzantów 35,22-460,22.9723388889,50.6976166667,22.9723388889,50.6976166667
441,1617001,JRG Szczecinek,943730750,943730750,JRG,ZACHODNIOPOMORSKIE,szczecinecki,Szczecinek (gmina miejska),Szczecinek,1-go Maja 61,78-400,16.69175,53.717,16.69175,53.717
442,1419001,JRG Szczytno,477329911,477329940,JRG,WARMIŃSKO-MAZURSKIE,szczycieński,Szczytno (gmina miejska),Szczytno,Sobieszczańskiego 2,12-100,20.9831472222,53.5577972222,20.9831472222,53.5577972222
443,412001,JRG Szprotawa, ,684324060,JRG,LUBUSKIE,żagański,Szprotawa,Szprotawa,Wiechlice ul. Nowa 13,67-300,15.5682027778,51.5585722222,15.5682027778,51.5585722222
